Forest-pattern.py - OUTPUT
[*********************100%***********************]  7 of 7 completed
|   iter    |  target   | max_depth | min_sa... | n_esti... |
| 22        | 0.5152    | 2.798     | 17.45     | 129.6     |
| 23        | 0.5152    | 2.364     | 16.82     | 129.3     |
| 24        | 0.5135    | 3.186     | 16.66     | 129.5     |
| 25        | 0.5152    | 2.073     | 17.39     | 129.6     |
=============================================================
|   iter    |  target   | max_depth | min_sa... | n_esti... |
-------------------------------------------------------------
| 1         | 0.5265    | 2.498     | 95.17     | 246.4     |
| 2         | 0.5269    | 3.395     | 17.29     | 131.2     |
| 3         | 0.5275    | 1.232     | 86.89     | 220.2     |
| 4         | 0.5269    | 3.832     | 4.017     | 294.0     |
| 5         | 0.5249    | 4.33      | 22.81     | 136.4     |
| 6         | 0.525     | 4.13      | 4.259     | 293.9     |
| 7         | 0.5247    | 4.448     | 53.73     | 126.2     |
| 8         | 0.5275    | 1.143     | 57.34     | 250.5     |
| 9         | 0.5249    | 4.358     | 70.68     | 141.8     |
| 10        | 0.527     | 2.934     | 91.18     | 108.2     |
| 11        | 0.5246    | 4.711     | 39.69     | 177.3     |
| 12        | 0.5246    | 4.195     | 11.22     | 240.4     |
| 13        | 0.5265    | 2.27      | 89.31     | 127.3     |
| 14        | 0.5275    | 1.51      | 62.58     | 175.7     |
| 15        | 0.527     | 3.119     | 17.13     | 296.9     |
| 16        | 0.5275    | 1.706     | 7.776     | 238.6     |
| 17        | 0.5265    | 2.903     | 33.16     | 272.6     |
| 18        | 0.5265    | 2.17      | 18.59     | 133.4     |
| 19        | 0.5246    | 4.66      | 41.86     | 187.6     |
| 20        | 0.5269    | 3.115     | 10.69     | 177.2     |
| 21        | 0.5275    | 1.318     | 44.42     | 170.6     |
| 22        | 0.5249    | 4.327     | 71.45     | 116.1     |
| 23        | 0.5269    | 3.087     | 6.873     | 233.7     |
| 24        | 0.5275    | 1.109     | 8.677     | 210.3     |
| 25        | 0.5249    | 4.915     | 32.68     | 123.4     |
=============================================================
