Entry_Date,Exit_Date,Return,Direction,Portfolio_Value_At_Exit,Portfolio_Value_At_Entry,Exposure
2010-10-15,2010-10-18,-1.0,Sell,990.0,1000.0,-1.0
2010-11-11,2010-11-11,-1.183814650453252,Hold,978.2802349605128,990.0,-1.1838146504532567
2010-11-12,2010-11-15,-1.0,Sell,968.4974326109076,978.2802349605128,-1.0000000000000036
2010-11-22,2010-11-22,-1.4476944932736435,Hold,954.4765486115028,968.4974326109076,-1.447694493273647
2010-11-23,2010-11-24,-1.0,Sell,944.9317831253878,954.4765486115028,-0.9999999999999983
